placement,workload,threads,coros,nodes,duration_s,total_ops,throughput_mops,p50_us,p95_us,p99_us,p999_us
local,a,32,0,1,1.00,11011750,11.012,2.40,3.80,4.70,57.70
local,b,32,0,1,1.00,11701750,11.702,2.20,3.60,4.90,56.10
local,c,32,0,1,1.00,10862500,10.863,2.30,4.90,7.20,48.40
local,d,32,0,1,1.00,11323500,11.323,2.30,3.70,4.80,57.80
local,e,32,0,1,1.00,1604000,1.604,4.90,88.50,102.40,114.90
split,a,32,0,1,1.00,8686250,8.686,2.00,3.60,5.10,45.00
split,b,32,0,1,1.00,8339750,8.340,2.00,4.00,5.90,42.00
split,c,32,0,1,1.00,8257500,8.258,1.90,7.80,11.60,40.20
split,d,32,0,1,1.00,9109750,9.110,1.70,3.20,4.80,44.60
split,e,32,0,1,1.00,1693250,1.693,3.70,90.40,116.00,150.80
remote,a,32,0,1,1.00,11081000,11.081,2.30,3.70,4.80,55.60
remote,b,32,0,1,1.00,11702250,11.702,2.10,3.50,4.90,53.20
remote,c,32,0,1,1.00,10850750,10.851,2.40,4.40,6.50,46.90
remote,d,32,0,1,1.00,11700500,11.700,2.20,3.50,4.40,58.10
remote,e,32,0,1,1.00,1580250,1.580,5.00,88.20,101.80,112.00
